"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"188","48","-","55","3","3","87.27","1","caught","2","v Bangladesh","Dubai (DSC)","28 Sep 2018"
"189","152*","-","117","15","8","129.91","1","not out","2","v West Indies","Guwahati","21 Oct 2018"
"190","4","14","8","1","0","50.00","1","caught","1","v West Indies","Visakhapatnam","24 Oct 2018"
"191","8","-","9","2","0","88.88","1","bowled","2","v West Indies","Pune","27 Oct 2018"
"192","162","-","137","20","4","118.24","1","caught","1","v West Indies","Mumbai (BS)","29 Oct 2018"
"193","63*","65","56","5","4","112.50","1","not out","2","v West Indies","Thiruvananthapuram","1 Nov 2018"
"194","133","204","129","10","6","103.10","1","caught","2","v Australia","Sydney","12 Jan 2019"
"195","43","71","52","2","2","82.69","1","caught","2","v Australia","Adelaide","15 Jan 2019"
"196","9","-","17","1","0","52.94","1","caught","2","v Australia","Melbourne","18 Jan 2019"
"197","11","38","24","1","0","45.83","1","caught","2","v New Zealand","Napier","23 Jan 2019"
"198","87","116","96","9","3","90.62","1","caught","1","v New Zealand","Mount Maunganui","26 Jan 2019"
"199","62","115","77","3","2","80.51","1","stumped","2","v New Zealand","Mount Maunganui","28 Jan 2019"
"200","7","33","23","0","0","30.43","1","caught","1","v New Zealand","Hamilton","31 Jan 2019"
"201","2","16","16","0","0","12.50","1","bowled","1","v New Zealand","Wellington","3 Feb 2019"
"202","37","-","66","5","0","56.06","1","caught","2","v Australia","Hyderabad (Deccan)","2 Mar 2019"
"203","0","-","6","0","0","0.00","1","caught","1","v Australia","Nagpur","5 Mar 2019"
"204","14","-","14","2","1","100.00","2","lbw","2","v Australia","Ranchi","8 Mar 2019"
"205","95","-","92","7","2","103.26","1","caught","1","v Australia","Mohali","10 Mar 2019"
"206","56","-","89","4","0","62.92","1","stumped","2","v Australia","Delhi","13 Mar 2019"
"207","122*","212","144","13","2","84.72","2","not out","2","v South Africa","Southampton","5 Jun 2019"
"208","57","101","70","3","1","81.42","1","caught","1","v Australia","The Oval","9 Jun 2019"
"209","140","153","113","14","3","123.89","2","caught","1","v Pakistan","Manchester","16 Jun 2019"
"210","1","60","10","0","0","10.00","2","bowled","1","v Afghanistan","Southampton","22 Jun 2019"
"211","18","28","23","1","1","78.26","2","caught","1","v West Indies","Manchester","27 Jun 2019"
"212","102","152","109","15","0","93.57","2","caught","2","v England","Birmingham","30 Jun 2019"
"213","104","121","92","7","5","113.04","2","caught","1","v Bangladesh","Birmingham","2 Jul 2019"
"214","103","133","94","14","2","109.57","2","caught","2","v Sri Lanka","Leeds","6 Jul 2019"
"215","1","7","4","0","0","25.00","2","caught","2","v New Zealand","Manchester","9 Jul 2019"
"216","TDNB","-","-","-","-","-","-","-","-","v West Indies","Providence","8 Aug 2019"
"217","18","75","34","2","0","52.94","2","caught","1","v West Indies","Port of Spain","11 Aug 2019"
"218","10","13","6","2","0","166.66","1","run out","2","v West Indies","Port of Spain","14 Aug 2019"
"219","36","-","56","6","0","64.28","1","caught","1","v West Indies","Chennai","15 Dec 2019"
"220","159","-","138","17","5","115.21","1","caught","1","v West Indies","Visakhapatnam","18 Dec 2019"
"221","63","-","63","8","1","100.00","1","caught","2","v West Indies","Cuttack","22 Dec 2019"
"222","10","-","15","2","0","66.66","1","caught","1","v Australia","Mumbai","14 Jan 2020"
"223","42","-","44","6","0","95.45","1","lbw","1","v Australia","Rajkot","17 Jan 2020"
"224","119","-","128","8","6","92.96","1","caught","2","v Australia","Bengaluru","19 Jan 2020"
"225","28","79","42","4","0","66.66","1","caught","1","v England","Pune","23 Mar 2021"
"226","25","38","25","5","0","100.00","1","caught","1","v England","Pune","26 Mar 2021"
"227","37","71","37","6","0","100.00","1","bowled","1","v England","Pune","28 Mar 2021"
